;ds;trend;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat_lower;yhat_upper;trend_lower;trend_upper;yhat
53;11/06/2020;450.564.977.310.572;118.531.878.450.196;118.531.878.450.196;118.531.878.450.196;118.531.878.450.196;118.531.878.450.196;118.531.878.450.196;0;0;0;354.116.894.169.527;790.447.143.032.984;450.564.977.310.572;450.564.977.310.572;569.096.855.760.768
54;12/06/2020;454.967.850.115.747;833.261.306.467.618;833.261.306.467.618;833.261.306.467.618;833.261.306.467.618;833.261.306.467.618;833.261.306.467.618;0;0;0;325.425.119.850.662;760.342.177.154.147;454.967.850.115.747;454.967.850.115.747;538.293.980.762.509
55;13/06/2020;459.370.722.920.922;429.198.828.309.047;429.198.828.309.047;429.198.828.309.047;429.198.828.309.047;429.198.828.309.047;429.198.828.309.047;0;0;0;287.576.903.456.433;70.086.080.185.701;459.370.722.920.922;459.370.722.920.922;502.290.605.751.827
56;14/06/2020;463.773.595.726.097;-218.905.916.702.064;-218.905.916.702.064;-218.905.916.702.064;-218.905.916.702.064;-218.905.916.702.064;-218.905.916.702.064;0;0;0;376.460.392.076.632;454.963.996.836.311;463.773.595.726.097;463.773.595.726.097;244.867.679.024.033
57;15/06/2020;468.176.468.526.444;-274.157.106.117.069;-274.157.106.117.069;-274.157.106.117.069;-274.157.106.117.069;-274.157.106.117.069;-274.157.106.117.069;0;0;0;-20.064.775.658.848;431.250.338.332.879;468.176.468.526.444;468.176.468.526.444;194.019.362.409.376
58;16/06/2020;472.579.341.326.792;171.757.523.686.428;171.757.523.686.428;171.757.523.686.428;171.757.523.686.428;171.757.523.686.428;171.757.523.686.428;0;0;0;432.341.113.233.352;855.505.615.975.724;472.579.341.326.792;472.579.341.326.792;644.336.865.013.219
59;17/06/2020;476.982.214.129.622;765.276.072.040.607;765.276.072.040.607;765.276.072.040.607;765.276.072.040.607;765.276.072.040.607;765.276.072.040.607;0;0;0;340.652.039.642.627;76.886.636.786.801;476.982.214.129.622;476.982.214.129.622;553.509.821.333.683
60;18/06/2020;481.385.086.932.452;118.531.878.450.111;118.531.878.450.111;118.531.878.450.111;118.531.878.450.111;118.531.878.450.111;118.531.878.450.111;0;0;0;397.829.722.878.425;80.507.198.799.658;481.385.086.932.452;481.385.086.932.452;599.916.965.382.563
61;19/06/2020;485.787.959.735.283;833.261.306.469.239;833.261.306.469.239;833.261.306.469.239;833.261.306.469.239;833.261.306.469.239;833.261.306.469.239;0;0;0;346.118.546.010.574;798.546.372.127.721;485.787.959.735.283;485.787.959.735.283;569.114.090.382.206
62;20/06/2020;490.190.832.538.113;429.198.828.316.071;429.198.828.316.071;429.198.828.316.071;429.198.828.316.071;429.198.828.316.071;429.198.828.316.071;0;0;0;312.193.469.914.328;751.661.620.372.676;490.190.832.538.113;490.190.832.538.113;53.311.071.536.972
63;21/06/2020;494.593.705.340.943;-218.905.916.701.585;-218.905.916.701.585;-218.905.916.701.585;-218.905.916.701.585;-218.905.916.701.585;-218.905.916.701.585;0;0;0;530.928.753.247.205;492.625.647.767.837;494.593.705.340.943;494.593.705.340.943;275.687.788.639.358
64;22/06/2020;498.996.578.143.774;-274.157.106.116.589;-274.157.106.116.589;-274.157.106.116.589;-274.157.106.116.589;-274.157.106.116.589;-274.157.106.116.589;0;0;0;155.846.715.691.777;4.503.142.908.188;498.996.578.143.774;498.996.578.143.774;224.839.472.027.185
65;23/06/2020;503.399.450.946.604;171.757.523.686.791;171.757.523.686.791;171.757.523.686.791;171.757.523.686.791;171.757.523.686.791;171.757.523.686.791;0;0;0;460.767.181.154.981;88.457.397.938.656;503.399.450.946.604;503.399.450.946.604;675.156.974.633.395
66;24/06/2020;507.802.323.749.434;765.276.072.039.087;765.276.072.039.087;765.276.072.039.087;765.276.072.039.087;765.276.072.039.087;765.276.072.039.087;0;0;0;370.253.026.180.881;796.049.837.220.722;507.802.323.749.434;507.802.323.749.434;584.329.930.953.343
67;25/06/2020;512.205.196.552.265;118.531.878.450.085;118.531.878.450.085;118.531.878.450.085;118.531.878.450.085;118.531.878.450.085;118.531.878.450.085;0;0;0;420.329.090.980.116;837.127.745.759.659;512.205.196.552.265;512.205.196.552.265;63.073.707.500.235
68;26/06/2020;516.608.069.355.095;833.261.306.470.859;833.261.306.470.859;833.261.306.470.859;833.261.306.470.859;833.261.306.470.859;833.261.306.470.859;0;0;0;378.396.124.676.394;828.725.570.153.935;516.608.069.355.095;516.608.069.355.095;599.934.200.002.181
